Date,Open,High,Low,Close,Adj Close,Volume
2022-06-26,34.136364,34.409088,34.136364,34.227272,32.838867,3266113
2022-06-27,34.363636,34.363636,34.090908,34.181816,32.795254,3370535
2022-06-28,34.227272,35.318180,34.227272,35.318180,33.885525,6143678
2022-06-29,35.272728,36.000000,35.000000,35.636364,34.190804,6250515
2022-06-30,35.636364,35.636364,35.227272,35.272728,33.841911,8449684
2022-07-03,35.318180,35.409088,34.863636,35.136364,33.711079,1763140
2022-07-04,35.000000,35.000000,34.454544,34.681816,33.274971,3961053
2022-07-05,34.681816,34.909088,34.545452,34.818180,33.405804,2635732
2022-07-06,34.500000,34.590908,34.272728,34.500000,33.100533,6128310
2022-07-13,34.090908,34.181816,33.318180,33.318180,31.966648,10024366
2022-07-14,33.363636,33.545452,32.818180,32.954544,31.617765,4946062
2022-07-17,33.272728,33.772728,33.090908,33.590908,32.228317,3414552
2022-07-18,33.636364,35.000000,33.636364,35.000000,33.580246,6487923
2022-07-19,35.000000,35.454544,34.636364,35.227272,33.798298,4877327
2022-07-20,35.181816,35.454544,35.045452,35.363636,33.929134,3764926
2022-07-21,35.409088,35.409088,35.090908,35.136364,33.711079,3326261
2022-07-24,35.000000,35.272728,34.772728,35.181816,33.754692,2069603
2022-07-25,35.000000,35.363636,34.954544,35.090908,33.667473,3996118
2022-07-26,35.181816,35.318180,34.954544,35.272728,33.841911,3051738
2022-07-27,35.454544,36.227272,35.227272,36.136364,34.670517,8446526
2022-07-28,36.318180,36.409088,36.090908,36.090908,34.626904,12237404
2022-07-31,36.090908,36.409088,36.090908,36.136364,34.670517,6181844
2022-08-01,36.136364,36.454544,36.090908,36.409088,34.932178,9908784
2022-08-02,36.363636,36.409088,35.636364,36.227272,34.757736,7012434
2022-08-03,36.136364,36.227272,35.909088,36.227272,34.757736,3223353
2022-08-04,36.090908,36.227272,36.000000,36.090908,34.626904,3226778
2022-08-07,36.000000,36.000000,35.636364,35.681816,34.234402,2103791
